,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19.07.2021,"3,0799","2,5187","3,2757","4,5405","0,1924","0,6623","0,2669","4,9262","5,7448","1,3712","3,8108","0,2324","0,4686","1,0741","0,0562","0,4801","0,4873","4,1824","0,2890","0,8176","0,6449","0,0559","0,3636","0,2093","2,9150","0,0419","0,1536","1,1386","0,6567","0,1273","242,5993","5,9446"
2,16.07.2021,"3,1010","2,5193","3,3153","4,5366","0,1931","0,6625","0,2654","4,9274","5,7641","1,3706","3,7856","0,2316","0,4741","1,0746","0,0563","0,4811","0,4888","4,1687","0,2903","0,8155","0,6447","0,0559","0,3656","0,2098","2,9285","0,0419","0,1532","1,1349","0,6572","0,1273","244,3812","5,9356"
3,15.07.2021,"3,1067","2,5195","3,3253","4,5593","0,1928","0,6626","0,2647","4,9277","5,7553","1,3725","3,7897","0,2317","0,4758","1,0764","0,0561","0,4821","0,4861","4,1607","0,2863","0,8204","0,6442","0,0558","0,3645","0,2092","2,9185","0,0419","0,1525","1,1327","0,6577","0,1274","245,1423","5,9303"
4,14.07.2021,"3,1114","2,5198","3,3416","4,5475","0,1919","0,6626","0,2664","4,9283","5,7874","1,3759","3,7827","0,2306","0,4764","1,0749","0,0564","0,4824","0,4840","4,1792","0,2839","0,8093","0,6460","0,0560","0,3636","0,2092","2,9268","0,0419","0,1531","1,1378","0,6580","0,1279","243,7421","5,9450"
5,13.07.2021,"3,1131","2,5195","3,3353","4,5428","0,1919","0,6625","0,2648","4,9278","5,7669","1,3815","3,7735","0,2303","0,4779","1,0776","0,0562","0,4838","0,4823","4,1625","0,2853","0,8045","0,6436","0,0559","0,3638","0,2092","2,9058","0,0419","0,1523","1,1332","0,6575","0,1277","241,9105","5,9300"
6,12.07.2021,"3,1019","2,5194","3,3279","4,5388","0,1914","0,6625","0,2643","4,9275","5,7605","1,3866","3,7744","0,2298","0,4765","1,0819","0,0556","0,4832","0,4821","4,1566","0,2884","0,7903","0,6421","0,0557","0,3624","0,2082","2,8944","0,0419","0,1522","1,1316","0,6575","0,1272","240,6878","5,9243"
7,09.07.2021,"3,1003","2,5197","3,3238","4,5468","0,1913","0,6627","0,2651","4,9281","5,7364","1,3857","3,7798","0,2303","0,4763","1,0834","0,0559","0,4838","0,4788","4,1596","0,2913","0,7909","0,6411","0,0557","0,3624","0,2087","2,8961","0,0419","0,1522","1,1324","0,6577","0,1276","241,3706","5,9240"
8,08.07.2021,"3,0993","2,5190","3,3172","4,5392","0,1909","0,6625","0,2654","4,9268","5,7432","1,3766","3,7865","0,2308","0,4754","1,0856","0,0555","0,4839","0,4791","4,1640","0,2903","0,7958","0,6425","0,0557","0,3627","0,2075","2,9045","0,0419","0,1527","1,1336","0,6578","0,1282","242,4736","5,9287"
9,07.07.2021,"3,1305","2,5191","3,3479","4,5138","0,1922","0,6626","0,2655","4,9270","5,7498","1,3891","3,7615","0,2304","0,4802","1,0906","0,0561","0,4844","0,4796","4,1655","0,2906","0,8015","0,6444","0,0558","0,3665","0,2084","2,9284","0,0419","0,1528","1,1341","0,6583","0,1291","241,8316","5,9293"
10,06.07.2021,"3,1529","2,5189","3,3682","4,5051","0,1924","0,6625","0,2651","4,9265","5,7620","1,3934","3,7564","0,2293","0,4833","1,0943","0,0567","0,4859","0,4796","4,1619","0,2922","0,8174","0,6437","0,0558","0,3672","0,2098","2,9473","0,0419","0,1526","1,1331","0,6581","0,1293","241,9480","5,9267"
